nama_bisnis,kategori,rating,jumlah_ulasan,no_telepon,website,alamat
Toko Grosir Jasmine,,0.0,0,,0," Jl. Kolonel Sugiono No.36, RT.04, Kertosari, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Toko fikfaz grosir sembako,Toko bahan makanan,5.0,1,6283140876914,0," Jl. Bawean No.18, Lingkungan Sukowidi, Klatak, Kec. Kalipuro, Kabupaten Banyuwangi, Jawa Timur 68421"
UD. Murah Hati Grosir Beras Dan Eceran,Toko,4.0,2,,https://crystalcosmetic.sirclo.me/id/products," Q9H4+G78, Lingkungan Cuking Rw., Mojopanggung, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68425"
Crystal Cosmetic,Toko Kosmetik,4.9,373,6288804962521,https://crystalcosmetic.sirclo.me/id/products," Jl. Panglima Besar Sudirman No.161-165, Kepatihan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411"
TOKO RIO JAYA (SEMBARANG GROSIR DAN ECER),Toko,0.0,0,,0," Q9H4+G78, Lingkungan Cuking Rw., Mojopanggung, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68425"
FIHARDI BUAH BANYUWANGI,Grosir Buah,1.0,2,6281384404392,0," Jl. Mayor Supono No.23, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Toko Serba ada banyuwangi,Toko Perlengkapan Rumah,3.8,21,6282244969090,0," Jl. Basuki Rahmat No.22, Lateng, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68413"
GROSIR TEH BANYUWANGI,Grosir,0.0,0,628818188800,https://www.instagram.com/grosirtehbanyuwangi," Q983+G6R, Jl. Brawijaya, Kebalenan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur"
Billa Snack,Toko grosir,4.5,6,,0," Q9MG+HG8, Jl. Ikan Mas, Karangrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411"
Toko genteng UD Sinar Mulya Banyuwangi,Grosir,5.0,3,,0," Jl. Brawijaya No.34, Lingkungan Cuking Rw., Mojopanggung, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68425"
Pusat grosir baju anak Banyuwangi | Naumy Kids,Toko Pakaian Resmi,4.8,5,6282335527925,https://instagram.com/naumykids?igshid=YmMyMTA2M2Y=," Jl. Kolonel Sugiono, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68413"
Grosir Ayam Kampung Pejantan dan Bebek,Pasar Makanan Segar,5.0,8,6289506144162,0," Jl. Prambanan No.77/23, Taman Baru, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Toko Laris,Toko,4.6,9,,0," Sobo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur"
Banyuwangi Raya Elektrik,Grosir Peralatan Listrik,5.0,5,,0," Jl. Letjen S Parman No.70, Sobo, Sumberrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68419"
